varied_parameter,facility_capacity_mw,server_power_kw,gpus_per_server,servers_per_rack,network_power_kw,racks_per_pod,pue,rack_it_power_kw,pod_it_power_mw,pod_facility_power_mw,max_it_capacity_mw,max_pods,total_racks,total_gpus,deployed_it_power_mw,used_capacity_mw,remaining_capacity_mw,capacity_utilization_pct,deployed_overhead_mw
pue,500,14.3,8,4,1.5,32,1.1,58.7,1.8784,2.06624,454.54545454545456,241,7712,246784,452.6944,497.96384,2.03616,99.59276799999999,45.26944
pue,500,14.3,8,4,1.5,32,1.11,58.7,1.8784,2.085024,450.45045045045043,239,7648,244736,448.9376,498.320736,1.679264,99.6641472,49.383136
pue,500,14.3,8,4,1.5,32,1.12,58.7,1.8784,2.103808,446.42857142857144,237,7584,242688,445.1808,498.602496,1.397504,99.72049919999999,53.421696
pue,500,14.3,8,4,1.5,32,1.13,58.7,1.8784,2.122592,442.4778761061947,235,7520,240640,441.424,498.80912,1.19088,99.761824,57.38512
pue,500,14.3,8,4,1.5,32,1.14,58.7,1.8784,2.141376,438.5964912280702,233,7456,238592,437.6672,498.940608,1.059392,99.7881216,61.273408
pue,500,14.3,8,4,1.5,32,1.15,58.7,1.8784,2.16016,434.7826086956522,231,7392,236544,433.9104,498.99696,1.00304,99.799392,65.08656
pue,500,14.3,8,4,1.5,32,1.16,58.7,1.8784,2.178944,431.0344827586207,229,7328,234496,430.1536,498.978176,1.021824,99.79563519999999,68.824576
pue,500,14.3,8,4,1.5,32,1.17,58.7,1.8784,2.197728,427.35042735042737,227,7264,232448,426.3968,498.884256,1.115744,99.7768512,72.487456
pue,500,14.3,8,4,1.5,32,1.18,58.7,1.8784,2.216512,423.728813559322,225,7200,230400,422.64,498.7152,1.2848,99.74304,76.0752
pue,500,14.3,8,4,1.5,32,1.19,58.7,1.8784,2.235296,420.16806722689074,223,7136,228352,418.8832,498.471008,1.528992,99.6942016,79.587808
pue,500,14.3,8,4,1.5,32,1.2,58.7,1.8784,2.25408,416.6666666666667,221,7072,226304,415.1264,498.15168,1.84832,99.630336,83.02528
pue,500,14.3,8,4,1.5,32,1.21,58.7,1.8784,2.272864,413.22314049586777,219,7008,224256,411.3696,497.757216,2.242784,99.5514432,86.387616
pue,500,14.3,8,4,1.5,32,1.22,58.7,1.8784,2.291648,409.8360655737705,218,6976,223232,409.4912,499.579264,0.420736,99.91585280000001,90.088064
pue,500,14.3,8,4,1.5,32,1.23,58.7,1.8784,2.310432,406.5040650406504,216,6912,221184,405.7344,499.053312,0.946688,99.81066240000001,93.318912
pue,500,14.3,8,4,1.5,32,1.24,58.7,1.8784,2.329216,403.2258064516129,214,6848,219136,401.9776,498.452224,1.547776,99.6904448,96.474624
pue,500,14.3,8,4,1.5,32,1.25,58.7,1.8784,2.348,400.0,212,6784,217088,398.2208,497.776,2.224,99.5552,99.5552
pue,500,14.3,8,4,1.5,32,1.26,58.7,1.8784,2.366784,396.8253968253968,211,6752,216064,396.3424,499.391424,0.608576,99.87828479999999,103.049024
