scenario,input_status,metric,calculated,reference,matches_display_precision
Conservative,reconstructed_assumption,rack_it_power_kw,44.1,44.1,True
Conservative,reconstructed_assumption,pod_it_power_mw,1.0584,1.06,True
Conservative,reconstructed_assumption,pue,1.25,1.25,True
Conservative,reconstructed_assumption,pod_facility_power_mw,1.323,1.32,True
Conservative,reconstructed_assumption,max_pods,377.0,377.0,True
Baseline,original_baseline,rack_it_power_kw,58.7,58.7,True
Baseline,original_baseline,pod_it_power_mw,1.8784,1.88,True
Baseline,original_baseline,pue,1.2,1.2,True
Baseline,original_baseline,pod_facility_power_mw,2.25408,2.25,True
Baseline,original_baseline,max_pods,221.0,221.0,True
High-Density,reconstructed_assumption,rack_it_power_kw,73.5,73.5,True
High-Density,reconstructed_assumption,pod_it_power_mw,2.352,2.35,True
High-Density,reconstructed_assumption,pue,1.15,1.15,True
High-Density,reconstructed_assumption,pod_facility_power_mw,2.7048,2.7,True
High-Density,reconstructed_assumption,max_pods,184.0,184.0,True
